seq0, sp|C0H412|SWRD_BACSU
seq5115, sp|A4QBE5|MENG_CORGB
seq5116, sp|P25324|THTR_CHICK
seq5117, sp|P26982|DEGP_SALTY
seq5118, sp|Q58288|Y878_METJA
seq5119, sp|P76237|DGCJ_ECOLI
seq5120, sp|Q8R890|XERCL_CALS4
seq5121, sp|O50224|RECG_ACIFR
seq5122, sp|O50224|RECG_ACIFR
seq5123, sp|B8GWW6|ALKB_CAUVN
seq5124, sp|O31567|YFIY_BACSU
seq5125, sp|Q8KA79|DNAC_BUCAP
seq5126, sp|P9WKZ9|Y3395_MYCTU
seq5127, sp|Q9K5N0|SOJ_ALKHC
seq5128, sp|P53435|GLPD_MYCLE
seq5129, sp|P65347|Y092_MYCBO
seq5130, sp|Q8R890|XERCL_CALS4
seq5131, sp|Q58483|ISF2_METJA
seq5132, sp|Q8R890|XERCL_CALS4
seq5133, sp|Q56207|MOEA_SYNE7
seq5134, sp|P73354|HTRA_SYNY3
seq5135, sp|Q1WV48|Y324_LACS1
seq5136, sp|Q8NLF0|TRHO_CORGL
seq5137, sp|Q51391|GLPR_PSEAE
seq5138, sp|P53382|APBC_MYCLE
seq5139, sp|Q6LMG3|SECA_PHOPR
seq5140, sp|Q8NP72|MIAA_CORGL
seq5141, sp|P9WKZ9|Y3395_MYCTU
seq5142, sp|P9WLK6|Y2079_MYCTO
seq5143, sp|P9WLK6|Y2079_MYCTO
seq5144, sp|P9WFJ5|Y2345_MYCTU
seq5145, sp|P9WFJ5|Y2345_MYCTU
seq5146, sp|Q8NQJ3|ODHI_CORGL
seq5147, sp|Q8NQJ3|ODHI_CORGL
seq5148, sp|P96687|YDFJ_BACSU
seq5149, sp|P96687|YDFJ_BACSU
seq5150, sp|Q9XA86|MMPLD_STRCO
seq5151, sp|Q9XA86|MMPLD_STRCO
seq5152, sp|Q9XA86|MMPLD_STRCO
seq5153, sp|Q9XA86|MMPLD_STRCO
seq5154, sp|Q9XA86|MMPLD_STRCO
seq5155, sp|Q9XA86|MMPLD_STRCO
seq5156, sp|Q9XA86|MMPLD_STRCO
seq5157, sp|A5E8U9|Y300_BRASB
seq5158, sp|B2GJP2|SEPF_KOCRD
seq5159, sp|Q8NS15|RL28_CORGL
seq5160, sp|O94580|WSS2_SCHPO
seq5161, sp|Q79E92|YKGN_ECOLI
seq5162, sp|P0AFY5|SANA_SHIFL
seq5163, sp|Q79E92|YKGN_ECOLI
seq5164, sp|Q79VJ2|UREF_CORGL
seq5165, sp|P0AFY5|SANA_SHIFL
seq5166, sp|Q8NNX5|RIMM_CORGL
seq5167, sp|Q6K881|P4KG4_ORYSJ
seq5168, sp|Q88CB1|DADA2_PSEPK
seq5169, sp|Q8NQJ3|ODHI_CORGL
seq5170, sp|Q8NT41|MGTA_CORGL
seq5171, sp|P9WLK6|Y2079_MYCTO
seq5172, sp|Q9LVR5|MCU3_ARATH
seq5173, sp|O34470|YLBL_BACSU
seq5174, sp|B2GJP2|SEPF_KOCRD
seq5175, sp|B2GJP2|SEPF_KOCRD
seq5176, sp|B2GJP2|SEPF_KOCRD
seq5177, sp|P50733|YPBG_BACSU
seq5178, sp|Q9X7C5|TRPE_MYCLE
seq5179, sp|Q5WHP4|SYH1_BACSK
seq5180, sp|A0PM87|Y816_MYCUA
seq5181, sp|P31865|KPYK_HYPJE
seq5182, sp|Q8TWY3|COFG_METKA
seq5183, sp|P10051|AAC6_CITKO
seq5184, sp|Q8TWY3|COFG_METKA
seq5185, sp|Q8TWY3|COFG_METKA
seq5186, sp|A0QUZ2|MUTT1_MYCS2
seq5187, sp|Q54VJ1|BLML2_DICDI
seq5188, sp|Q54VJ1|BLML2_DICDI
seq5189, sp|Q54VJ1|BLML2_DICDI
seq5190, sp|Q54VJ1|BLML2_DICDI
seq5191, sp|P9WIY3|MUTT1_MYCTU
seq5192, sp|Q54VJ1|BLML2_DICDI
seq5193, sp|A0QUZ2|MUTT1_MYCS2
seq5194, sp|Q54VJ1|BLML2_DICDI
seq5195, sp|Q54VJ1|BLML2_DICDI
seq5196, sp|A0QUZ2|MUTT1_MYCS2
seq5197, sp|Q54VJ1|BLML2_DICDI
seq5198, sp|Q54VJ1|BLML2_DICDI
seq5199, sp|P65347|Y092_MYCBO
seq5200, sp|P65347|Y092_MYCBO
seq5201, sp|Q978S7|TREH_THEVO
seq5202, sp|Q978S7|TREH_THEVO
seq5203, sp|Q6M6N7|RPF2_CORGL
seq5204, sp|P72042|Y3776_MYCTU
seq5205, sp|P54435|YRKH_BACSU
seq5206, sp|Q9XA86|MMPLD_STRCO
seq5207, sp|P71615|NRNA_MYCTU
seq5208, sp|P9WFJ5|Y2345_MYCTU
seq5209, sp|A6NIV6|LRIQ4_HUMAN
seq5210, sp|Q87DH6|Y709_XYLFT
seq5211, sp|Q87DH6|Y709_XYLFT
seq5212, sp|P04152|UMUC_ECOLI
seq5213, sp|P22494|UMUC_SALTY
seq5214, sp|Q8NBP0|TTC13_HUMAN
seq5215, sp|E1X791|TEHB_HAEI1
seq5216, sp|A6NIV6|LRIQ4_HUMAN
seq5217, sp|A6NIV6|LRIQ4_HUMAN
seq5218, sp|A6NIV6|LRIQ4_HUMAN
seq5219, sp|Q9VQB7|EOGT_DROME
seq5220, sp|Q9VQB7|EOGT_DROME
seq5221, sp|Q6YZI0|SPY_ORYSJ
seq5222, sp|P17885|BIMA_EMENI
seq5223, sp|Q6YZI0|SPY_ORYSJ
seq5224, sp|Q6YZI0|SPY_ORYSJ
seq5225, sp|Q941R6|MLP31_ARATH
seq5226, sp|Q6CWU8|SSN2_KLULA
seq5227, sp|A8W3M0|RR3_CUSOB
seq5228, sp|Q55DB6|AHSA_DICDI
seq5229, sp|Q8R9A4|SYT_CALS4
seq5230, sp|Q6CWU8|SSN2_KLULA
seq5231, sp|Q22523|NPL21_CAEEL
seq5232, sp|Q3ILF3|SYA_PSET1
seq5233, sp|Q5MFV8|PME5_ARATH
seq5234, sp|Q22523|NPL21_CAEEL
seq5235, sp|Q8R9A4|SYT_CALS4
seq5236, sp|A1C3L3|FAP1_STRPA
seq5237, sp|Q8R9A4|SYT_CALS4
seq5238, sp|Q6CWU8|SSN2_KLULA
seq5239, sp|Q9HK21|SMC_THEAC
seq5240, sp|Q3AQC3|METK_CHLCH
seq5241, sp|Q9RQJ9|KTHY_CAUVC
seq5242, sp|Q11YP3|ATPF_CYTH3
seq5243, sp|O31806|YNDB_BACSU
seq5244, sp|Q8X5K6|LPFB_ECO57
seq5245, sp|Q22523|NPL21_CAEEL
seq5246, sp|Q55DB6|AHSA_DICDI
seq5247, sp|Q6CWU8|SSN2_KLULA
seq5248, sp|Q9HQ20|BTUFA_HALSA
seq5249, sp|Q9HQ20|BTUFA_HALSA
seq5250, sp|P54458|YQEM_BACSU
seq5251, sp|A6V2Q4|UBIG_PSEA7
seq5252, sp|A6NIV6|LRIQ4_HUMAN
seq5253, sp|B9F655|PIRL7_ORYSJ
seq5254, sp|Q6YZI0|SPY_ORYSJ
seq5255, sp|P73467|Y1223_SYNY3
seq5256, sp|A6NIV6|LRIQ4_HUMAN
seq5257, sp|O24999|APBC_HELPY
seq5258, sp|Q5HX00|MIAA_CAMJR
seq5259, sp|Q9ZMF0|Y285_HELPJ
seq5260, sp|P64760|Y930_MYCBO
seq5261, sp|P9WMN7|MOEZ_MYCTU
seq5262, sp|P64760|Y930_MYCBO
seq5263, sp|Q1RHV1|FENR_RICBR
seq5264, sp|Q0JKD0|GLT1_ORYSJ
seq5265, sp|Q1RHV1|FENR_RICBR
seq5266, sp|P56954|MQO_CAMJE
seq5267, sp|Q0JKD0|GLT1_ORYSJ
seq5268, sp|Q8TTH3|HDG_METAC
seq5269, sp|A3DNV8|RFCL_STAMF
seq5270, sp|Q9ZE57|Y090_RICPR
seq5271, sp|P42616|YQJC_ECOLI
seq5272, sp|Q6K833|MCES2_ORYSJ
seq5273, sp|Q9ZMG1|Y274_HELPJ
seq5274, sp|S5FV19|CPA_STRPY
seq5275, sp|Q9PNQ6|BPT_CAMJE
seq5276, sp|A1VYH4|MIAB_CAMJJ
seq5277, sp|P71059|EPSJ_BACSU
seq5278, sp|Q64ZT8|SPEA_BACFR
seq5279, sp|B5EIW4|SPEA_GEOBB
seq5280, sp|O34399|GLTB_BACSU
seq5281, sp|Q9PPJ5|RIMM_CAMJE
seq5282, sp|Q57905|Y482_METJA
seq5283, sp|P9WER1|BRAB_ANNTR
seq5284, sp|P64760|Y930_MYCBO
seq5285, sp|Q8A2B1|SPEA_BACTN
seq5286, sp|Q9PPA9|LPXK_CAMJE
seq5287, sp|Q9PP76|PSD_CAMJE
seq5288, sp|Q9ZKF6|RS1_HELPJ
seq5289, sp|O52177|RELA_MYXXA
seq5290, sp|O52177|RELA_MYXXA
seq5291, sp|Q8XJR2|Y1693_CLOPE
seq5292, sp|O52177|RELA_MYXXA
seq5293, sp|Q8XJR2|Y1693_CLOPE
seq5294, sp|Q9CI63|P2IN_LACLA
seq5295, sp|P96629|INT_BACSU
seq5296, sp|P96629|INT_BACSU
seq5297, sp|P96629|INT_BACSU
seq5298, sp|Q9CI63|P2IN_LACLA
seq5299, sp|Q9CI63|P2IN_LACLA
seq5300, sp|Q9CI63|P2IN_LACLA
seq5301, sp|P96629|INT_BACSU
seq5302, sp|P13390|FIBL1_BPT5
seq5303, sp|P13390|FIBL1_BPT5
seq5304, sp|Q58709|Y1313_METJA
seq5305, sp|Q9HCG7|GBA2_HUMAN
seq5306, sp|P13390|FIBL1_BPT5
seq5307, sp|Q9HCG7|GBA2_HUMAN
seq5308, sp|F1R345|DDX11_DANRE
seq5309, sp|P13390|FIBL1_BPT5
seq5310, sp|P13390|FIBL1_BPT5
seq5311, sp|P13390|FIBL1_BPT5
seq5312, sp|F1R345|DDX11_DANRE
seq5313, sp|E8MGH8|HYBA1_BIFL2
seq5314, sp|E8MGH8|HYBA1_BIFL2
seq5315, sp|E8MGH8|HYBA1_BIFL2
seq5316, sp|E8MGH8|HYBA1_BIFL2
seq5317, sp|E8MGH8|HYBA1_BIFL2
seq5318, sp|E8MGH8|HYBA1_BIFL2
seq5319, sp|E8MGH8|HYBA1_BIFL2
seq5320, sp|Q836A6|TAGU_ENTFA
seq5321, sp|Q73J26|HFLX_TREDE
seq5322, sp|Q6GZS3|053R_FRG3G
seq5323, sp|Q10137|SEC14_SCHPO
seq5324, sp|P97479|MYO7A_MOUSE
seq5325, sp|O31417|YAZB_BACSU
seq5326, sp|O31417|YAZB_BACSU
seq5327, sp|O83371|Y352_TREPA
seq5328, sp|Q836A6|TAGU_ENTFA
seq5329, sp|Q836A6|TAGU_ENTFA
seq5330, sp|Q45537|COTJB_BACSU
seq5331, sp|E8MGH8|HYBA1_BIFL2
seq5332, sp|P55634|Y4RA_SINFN
seq5333, sp|P55634|Y4RA_SINFN
seq5334, sp|P0AG26|SPOT_SHIFL
seq5335, sp|O52177|RELA_MYXXA
seq5336, sp|O52177|RELA_MYXXA
seq5337, sp|P76542|INTZ_ECOLI
seq5338, sp|P76542|INTZ_ECOLI
seq5339, sp|P76542|INTZ_ECOLI
seq5340, sp|Q6LUR6|BTUF_PHOPR
seq5341, sp|Q6LUR6|BTUF_PHOPR
seq5342, sp|Q88MV0|XERD_PSEPK
seq5343, sp|A7NFG3|XERC_ROSCS
seq5344, sp|Q88MV0|XERD_PSEPK
seq5345, sp|A7NFG3|XERC_ROSCS
seq5346, sp|Q500B4|XERC_PSEU2
seq5347, sp|A7NFG3|XERC_ROSCS
seq5348, sp|A7NFG3|XERC_ROSCS
seq5349, sp|Q8VQ99|SRAP_STAAU
seq5350, sp|P76542|INTZ_ECOLI
seq5351, sp|Q6LUR6|BTUF_PHOPR
seq5352, sp|Q7N842|BTUF_PHOLL
seq5353, sp|F7E235|FAXC_XENTR
seq5354, sp|B2WBF0|COQ4_PYRTR
seq5355, sp|P37525|REMB_BACSU
seq5356, sp|P96499|TAGV_BACSU
seq5357, sp|P16055|TA15_TREPA
seq5358, sp|P96499|TAGV_BACSU
seq5359, sp|P17901|GUNA_RUMCH
seq5360, sp|P96499|TAGV_BACSU
seq5361, sp|P16055|TA15_TREPA
seq5362, sp|P16055|TA15_TREPA
seq5363, sp|Q931S1|MSRR_STAAM
seq5364, sp|Q5NYP6|RNH_AROAE
seq5365, sp|P96499|TAGV_BACSU
seq5366, sp|Q5NYP6|RNH_AROAE
seq5367, sp|H6LC30|RNFG_ACEWD
seq5368, sp|Q5NYP6|RNH_AROAE
seq5369, sp|P96499|TAGV_BACSU
seq5370, sp|P96499|TAGV_BACSU
seq5371, sp|Q836A6|TAGU_ENTFA
seq5372, sp|Q66WT5|SGR2_ARATH
seq5373, sp|Q66WT5|SGR2_ARATH
seq5374, sp|Q9W440|THEM6_DROME
seq5375, sp|Q2UNA2|C505_ASPOR
seq5376, sp|Q54U87|DHKA_DICDI
seq5377, sp|Q54U87|DHKA_DICDI
seq5378, sp|Q9C5U1|AHK3_ARATH
seq5379, sp|Q03101|CYAG_DICDI
seq5380, sp|P23830|PSS_ECOLI
seq5381, sp|P23830|PSS_ECOLI
seq5382, sp|O75072|FKTN_HUMAN
seq5383, sp|O75072|FKTN_HUMAN
seq5384, sp|Q60HG0|FKTN_MACFA
seq5385, sp|Q60HG0|FKTN_MACFA
seq5386, sp|P0A3Z5|DEGPL_BRUSU
seq5387, sp|Q8YG32|DEGPL_BRUME
seq5388, sp|Q9SU25|T2FA_ARATH
seq5389, sp|Q9SU25|T2FA_ARATH
seq5390, sp|Q0TR21|ADEC_CLOP1
seq5391, sp|Q8KN33|PCPF_SPHCR
seq5392, sp|Q9KNM2|SPOT_VIBCH
seq5393, sp|P32053|INTA_ECOLI
seq5394, sp|P32053|INTA_ECOLI
seq5395, sp|P96670|YDEM_BACSU
seq5396, sp|O05515|TSAE_BACSU
seq5397, sp|Q9W440|THEM6_DROME
seq5398, sp|P75908|DGCT_ECOLI
seq5399, sp|B5YFZ8|XERC_THEYD
seq5400, sp|P75908|DGCT_ECOLI
seq5401, sp|P22494|UMUC_SALTY
seq5402, sp|Q9P896|TCSA_EMENI
seq5403, sp|Q9P896|TCSA_EMENI
seq5404, sp|O32041|YRVJ_BACSU
seq5405, sp|O32041|YRVJ_BACSU
seq5406, sp|O32041|YRVJ_BACSU
seq5407, sp|O32041|YRVJ_BACSU
seq5408, sp|O32041|YRVJ_BACSU
seq5409, sp|O32041|YRVJ_BACSU
seq5410, sp|O32041|YRVJ_BACSU
seq5411, sp|Q9CBZ6|NADE_MYCLE
seq5412, sp|Q9CBZ6|NADE_MYCLE
seq5413, sp|P14002|BGLB_ACET2
seq5414, sp|P33363|BGLX_ECOLI
seq5415, sp|P33363|BGLX_ECOLI
seq5416, sp|Q47UR1|RMF2_COLP3
seq5417, sp|Q47Z13|RMF1_COLP3
seq5418, sp|Q483B4|Y2127_COLP3
seq5419, sp|Q481E4|Y2611_COLP3
seq5420, sp|Q48AD7|RL28_COLP3
seq5421, sp|P42597|UTPP_ECOLI
seq5422, sp|P39213|INSN_SHIDY
seq5423, sp|Q18LD3|CEP2_ELHVK
seq5424, sp|A4STK7|TATB_AERS4
seq5425, sp|Q5E7H1|DNABP_ALIF1
seq5426, sp|P45029|MLAD_HAEIN
seq5427, sp|Q32LE4|GGCT_BOVIN
seq5428, sp|P55886|YIGA_SALTY
seq5429, sp|Q5E7H1|DNABP_ALIF1
seq5430, sp|A7I2X3|SURE_CAMHC
seq5431, sp|P03753|EA31_LAMBD
seq5432, sp|Q6GCA6|SSB2_STAAS
seq5433, sp|O31713|FRUR_BACSU
seq5434, sp|O31713|FRUR_BACSU
seq5435, sp|O31713|FRUR_BACSU
seq5436, sp|O31713|FRUR_BACSU
seq5437, sp|Q04ET1|DIVIB_OENOB
seq5438, sp|O06715|YISB_BACSU
seq5439, sp|Q8XJP6|RIMM_CLOPE
seq5440, sp|P54992|YSNA_STRPR
seq5441, sp|Q0TV39|PSD_CLOP1
seq5442, sp|Q10449|MU157_SCHPO
seq5443, sp|P40869|SP5AD_BACSU
seq5444, sp|O34659|CDAR_BACSU
seq5445, sp|A8FED1|UGTP_BACP2
seq5446, sp|Q0SRF3|RS21_CLOPS
seq5447, sp|P37558|YABP_BACSU
seq5448, sp|P21886|SAS1_CLOPE
seq5449, sp|Q470D2|DNLJ_CUPPJ
seq5450, sp|P41371|SAS0_CLOPE
seq5451, sp|P21887|SAS2_CLOPE
seq5452, sp|A8LN36|ARCA_DINSH
seq5453, sp|Q0SRX1|SEPF_CLOPS
seq5454, sp|P37574|YACP_BACSU
seq5455, sp|Q8IX06|GOR_HUMAN
seq5456, sp|P22066|SAS2_PARBF
seq5457, sp|B2TP89|VATD_CLOBB
seq5458, sp|Q8YYI2|CCML_NOSS1
seq5459, sp|Q03943|IM30_PEA
seq5460, sp|P54468|YQFC_BACSU
seq5461, sp|Q9L645|NRDG_SALTY
seq5462, sp|P96670|YDEM_BACSU
seq5463, sp|Q9QYK4|H6ST3_MOUSE
seq5464, sp|Q58157|HEMTB_METJA
seq5465, sp|P54992|YSNA_STRPR
seq5466, sp|P37546|YABE_BACSU
seq5467, sp|P37541|YAAT_BACSU
seq5468, sp|P37546|YABE_BACSU
seq5469, sp|Q91713|CHRD_XENLA
seq5470, sp|Q03101|CYAG_DICDI
seq5471, sp|Q9C5U1|AHK3_ARATH
seq5472, sp|A6WYV7|DADA_BRUA4
seq5473, sp|Q9XDM6|PDUV_SALTY
seq5474, sp|P26403|RFBN_SALTY
seq5475, sp|P37546|YABE_BACSU
seq5476, sp|A8G0T1|TATB_SHESH
seq5477, sp|Q48A23|MIAA_COLP3
seq5478, sp|P94474|YEAC_BACSU
seq5479, sp|P15082|SRLR_ECOLI
seq5480, sp|P64612|ZAPE_ECOLI
seq5481, sp|Q29RZ5|TNG2_BOVIN
seq5482, sp|Q9VJ34|GSTCD_DROME
seq5483, sp|Q47319|TAPT_ECOLI
seq5484, sp|P45135|APBC_HAEIN
seq5485, sp|Q6LVQ7|BIOH_PHOPR
seq5486, sp|A4TJB9|Y981_YERPP
seq5487, sp|Q9KQ28|Y2176_VIBCH
seq5488, sp|P25519|HFLX_ECOLI
seq5489, sp|A0A2G5I8W0|CTB9_CERBT
seq5490, sp|Q484J7|RIMO_COLP3
seq5491, sp|Q9P7T6|YIW4_SCHPO
seq5492, sp|A9H253|HFLX_GLUDA
seq5493, sp|Q58YV9|WBNK_ECOLX
seq5494, sp|Q48AS7|DNAA_COLP3
seq5495, sp|Q47Y80|MIAB_COLP3
seq5496, sp|Q87PM1|KT3K_VIBPA
seq5497, sp|P08696|BCN5_CLOPF
seq5498, sp|P08696|BCN5_CLOPF
seq5499, sp|Q3A2Y7|IXTPA_PELCD
seq5500, sp|P08696|BCN5_CLOPF
seq5501, sp|Q92G31|UVRA_RICCN
seq5502, sp|P08696|BCN5_CLOPF
seq5503, sp|A1R1C6|UREE_PAEAT
seq5504, sp|P08696|BCN5_CLOPF
seq5505, sp|P08696|BCN5_CLOPF
seq5506, sp|P08696|BCN5_CLOPF
seq5507, sp|P08696|BCN5_CLOPF
seq5508, sp|P0AGE3|SSB_SHIFL
seq5509, sp|Q0JKD0|GLT1_ORYSJ
seq5510, sp|Q05627|Y202_CLOB8
seq5511, sp|B1KUB1|MNMG_CLOBM
seq5512, sp|A0A0H3GEZ8|HPF_LISM4
seq5515, sp|A7UXD4|CHL1_NEUCR
seq5516, sp|Q92BW7|TCSA_LISIN
seq5517, sp|Q9HYL1|NOSD_PSEAE
seq5518, sp|Q9HYL1|NOSD_PSEAE
seq5519, sp|Q9HYL1|NOSD_PSEAE
seq5520, sp|Q9HYL1|NOSD_PSEAE
seq5521, sp|P08696|BCN5_CLOPF
seq5522, sp|P08696|BCN5_CLOPF
seq5523, sp|P08696|BCN5_CLOPF
seq5524, sp|A3PBT3|GLO2_PROM0
seq5525, sp|A3PBT3|GLO2_PROM0
seq5526, sp|Q6D7L7|LPTE_PECAS
seq5527, sp|A7Z1S7|CZCO_BACVZ
seq5528, sp|O27434|HDRA_METTH
seq5529, sp|P37985|RS1_DICD3
seq5530, sp|Q6ZNB7|ALKMO_HUMAN
seq5531, sp|O34441|YLOC_BACSU
seq5532, sp|O34441|YLOC_BACSU
seq5533, sp|O34441|YLOC_BACSU
seq5534, sp|Q58863|Y1468_METJA
seq5535, sp|Q58863|Y1468_METJA
seq5536, sp|Q58157|HEMTB_METJA
seq5537, sp|P45388|ARFB_PSEPU
seq5538, sp|F7E235|FAXC_XENTR
seq5539, sp|O31806|YNDB_BACSU
seq5540, sp|A4VJ35|COBB_PSEU5
seq5541, sp|E8MF12|NAHK_BIFL2
seq5542, sp|P15288|PEPD_ECOLI
seq5543, sp|A3PBT3|GLO2_PROM0
seq5544, sp|P37906|PUUB_ECOLI
seq5545, sp|P52388|CVC2_HHV7J
seq5546, sp|Q8DI95|YC48L_THEEB
seq5547, sp|Q8DI95|YC48L_THEEB
seq5548, sp|P94591|GLCR_BACSU
seq5549, sp|P54462|MTAB_BACSU
seq5550, sp|V9GXG1|SLN14_MOUSE
seq5551, sp|P09870|CLOS_HATHI
seq5552, sp|Q6LVQ7|BIOH_PHOPR
seq5553, sp|P39004|HXT7_YEAST
seq5554, sp|P14002|BGLB_ACET2
seq5555, sp|Q5E7H1|DNABP_ALIF1
seq5556, sp|A7GRL3|PYRC_BACCN
seq5557, sp|Q8XLE9|MIAB_CLOPE
seq5558, sp|P75908|DGCT_ECOLI
seq5559, sp|Q4W5Z4|DNM3A_CHICK
seq5560, sp|P50196|MTE8_ECOLX
seq5561, sp|P50196|MTE8_ECOLX
seq5562, sp|O52177|RELA_MYXXA
seq5563, sp|Q7ZAJ8|XERD_SHEON
seq5564, sp|O52177|RELA_MYXXA
seq5565, sp|Q6CPB1|CSN12_KLULA
seq5566, sp|P35484|DLDH_ACHLA
seq5567, sp|Q45537|COTJB_BACSU
seq5568, sp|Q43199|APT1_WHEAT
seq5569, sp|Q7MI40|DEOB_VIBVY
seq5570, sp|Q7MI40|DEOB_VIBVY
seq5571, sp|P84614|SCX28_HOTTS
seq5572, sp|P96499|TAGV_BACSU
seq5573, sp|P84614|SCX28_HOTTS
seq5574, sp|P96499|TAGV_BACSU
seq5575, sp|P76542|INTZ_ECOLI
seq5576, sp|Q9I310|Y1727_PSEAE
seq5577, sp|Q9I310|Y1727_PSEAE
seq5578, sp|Q8R890|XERCL_CALS4
seq5579, sp|Q65IA4|UGTP_BACLD
seq5580, sp|A6VW13|NQRF_MARMS
seq5581, sp|T2G899|APRB_DESGG
seq5582, sp|Q7V9C8|DNAJ_PROMM
seq5583, sp|T2G899|APRB_DESGG
seq5584, sp|C8WLE3|URDA_EGGLE
seq5585, sp|Q6QNI4|C71AJ_AMMMJ
seq5586, sp|P37558|YABP_BACSU
seq5587, sp|P37558|YABP_BACSU
seq5588, sp|B7HFL3|GLYA_BACC4
seq5589, sp|B7IQW9|GLYA_BACC2
seq5590, sp|P06569|YTXC_BACSU
seq5591, sp|P43641|MTMU_MYCSP
seq5592, sp|P37558|YABP_BACSU
seq5593, sp|Q45537|COTJB_BACSU
seq5594, sp|A8EXF0|RS2_RICCK
seq5595, sp|A2RUH7|MBPHL_HUMAN
seq5596, sp|Q8L3R3|RFL1_ARATH
seq5597, sp|Q1J6U1|MNME_STRPF
seq5598, sp|A7MB78|GYS1_BOVIN
seq5599, sp|H6LC30|RNFG_ACEWD
seq5600, sp|Q48TS5|MNME_STRPM
seq5601, sp|P24203|YJIA_ECOLI
seq5602, sp|Q1J6U1|MNME_STRPF
seq5603, sp|P33030|YEIR_ECOLI
seq5604, sp|Q48TS5|MNME_STRPM
seq5605, sp|A2RRU1|GYS1_RAT
seq5606, sp|P35791|PECE_NOSS1
seq5607, sp|Q605A0|NQRF_METCA
seq5608, sp|P09915|MTBR_BPRH1
seq5609, sp|P68586|MTBP_BPPHT
seq5610, sp|P06569|YTXC_BACSU
seq5611, sp|A8GGN3|BGAL_SERP5
seq5612, sp|P68586|MTBP_BPPHT
seq5613, sp|Q9HEH1|RENT1_NEUCR
seq5614, sp|Q9HEH1|RENT1_NEUCR
seq5615, sp|Q9HEH1|RENT1_NEUCR
seq5616, sp|P52078|Y997_STAA8
seq5617, sp|Q57563|ASSTI_METJA
seq5618, sp|A9KY37|SECA_SHEB9
seq5619, sp|P37558|YABP_BACSU
seq5620, sp|P37558|YABP_BACSU
seq5621, sp|Q4FZT9|PSMD2_RAT
seq5622, sp|Q0V8T9|CTP5A_MOUSE
seq5623, sp|F4HX80|ALT4_ARATH
seq5624, sp|Q4K4J1|PGK_PSEF5
seq5625, sp|Q02115|TAGU_BACSU
seq5626, sp|P16055|TA15_TREPA
seq5627, sp|Q02115|TAGU_BACSU
seq5628, sp|P16055|TA15_TREPA
seq5629, sp|Q8ENF3|TAGU_OCEIH
seq5630, sp|B1XX72|HIS1_LEPCP
seq5631, sp|Q0V8T9|CTP5A_MOUSE
seq5632, sp|P40869|SP5AD_BACSU
seq5633, sp|D7GG24|MSHD_PROFC
seq5634, sp|P9WMY5|MGTA_MYCTU
seq5635, sp|C5BHP3|SBMC_EDWI9
seq5636, sp|B1XZM3|ACPS_LEPCP
seq5637, sp|Q8R050|ERF3A_MOUSE
seq5638, sp|E0SBQ8|SBMC2_DICD3
seq5639, sp|P0C667|CT52_CONCB
seq5640, sp|B1XZM3|ACPS_LEPCP
seq5641, sp|B1XZM3|ACPS_LEPCP
seq5642, sp|Q149F3|ERF3B_MOUSE
seq5643, sp|Q8R050|ERF3A_MOUSE
seq5644, sp|Q9I3D8|Y1579_PSEAE
seq5645, sp|B1XZM3|ACPS_LEPCP
seq5646, sp|Q9I3D8|Y1579_PSEAE
seq5647, sp|Q978S7|TREH_THEVO
seq5648, sp|Q8KB70|RS21_CHLTE
seq5649, sp|Q85AC2|CHLB_ANTAG
seq5650, sp|O68988|CSMI_CHLTE
seq5651, sp|O67012|SPOT_AQUAE
seq5652, sp|O68988|CSMI_CHLTE
seq5653, sp|O67012|SPOT_AQUAE
seq5654, sp|O68983|CSMJ_CHLTE
seq5655, sp|O67012|SPOT_AQUAE
seq5656, sp|O67012|SPOT_AQUAE
seq5657, sp|Q9R9D5|RFAQ_ECOLX
seq5658, sp|Q9R9D5|RFAQ_ECOLX
seq5659, sp|O68983|CSMJ_CHLTE
seq5660, sp|Q57336|OPSX_HAEIN
seq5661, sp|Q57336|OPSX_HAEIN
seq5662, sp|Q9I3D8|Y1579_PSEAE
seq5663, sp|Q7ZAG8|SQRD_ACIAM
seq5664, sp|Q57584|Y120_METJA
seq5665, sp|Q93SU8|RL28_CHLTE
seq5666, sp|Q5RCZ8|SN12L_PONAB
seq5667, sp|Q2JVA4|GLMU_SYNJA
seq5668, sp|O52400|YGGE_EDWI9
seq5669, sp|Q55467|CHLM_SYNY3
seq5670, sp|Q9ZE57|Y090_RICPR
seq5671, sp|Q9SR77|HBPL1_ARATH
seq5672, sp|Q93SU4|PSD_CHLTE
seq5673, sp|P44292|Y1701_HAEIN
seq5674, sp|P9WMY5|MGTA_MYCTU
seq5675, sp|A0L5E8|THIG_MAGMM
seq5676, sp|Q7MV19|FEOAB_PORGI
seq5677, sp|P47823|EI2BE_RABIT
seq5678, sp|Q9I3D8|Y1579_PSEAE
seq5679, sp|Q9U641|CMFB_DICDI
seq5680, sp|Q9F715|BCHB_CHLTE
seq5681, sp|Q9ZE57|Y090_RICPR
seq5682, sp|Q9ZE57|Y090_RICPR
seq5683, sp|Q9F715|BCHB_CHLTE
seq5684, sp|C0H412|SWRD_BACSU
seq5685, sp|Q55467|CHLM_SYNY3
seq5686, sp|Q7VKW2|UBIG_HAEDU
seq5687, sp|A6QP81|MT21C_BOVIN
seq5688, sp|P48514|NUSA_THET8
